"set","resid_VPC","explains"
"race",2.83162383702214,8.38931820009945
"gender",2.40663187155165,22.1389565550216
"income",2.02708073032159,34.4184614706823
"race+gender",2.09293842475121,32.2877871171243
"race+income",1.71282513749401,44.5854789756073
"gender+income",1.06169809410396,65.6511980882302
"all three",0.677083825703536,78.0945088477509
