"","Estimate","Std. Error","df","t value","Pr(>|t|)","term","ci_lo","ci_hi"
"(Intercept)",-4.84857900419432,0.174501577039287,1524.95165875097,-27.7853019236768,7.97804235601183e-138,"(Intercept)",-5.19059581043677,-4.50656219795188
"race5cHispanic",-0.0981354197761736,0.0537934873765384,18.9592402338335,-1.82429927045359,0.0839086301192128,"race5cHispanic",-0.203568717636999,0.00729787808465178
"race5cOther/Asian",-0.143728006387416,0.0578829129757111,28.3775777822552,-2.48308177661562,0.0191957096752702,"race5cOther/Asian",-0.257176431140076,-0.0302795816347562
"race5cWhite",-0.134152338110354,0.0474763388756766,13.1163285583071,-2.82566729632734,0.0142050781478368,"race5cWhite",-0.227204252424499,-0.0411004237962088
"gender3Woman",0.00970656274686748,0.0345125236814582,10.6013729301285,0.281247550496643,0.783933893915824,"gender3Woman",-0.0579367406843763,0.0773498661781113
"gender3Gender Minority",-0.172712201565481,0.119942000065773,271.011194010591,-1.43996432834845,0.151031633214449,"gender3Gender Minority",-0.407794201928097,0.0623697987971358
"income3Low",0.485828231218656,0.0451631813440805,13.8509054441143,10.7571746887652,4.16819612399652e-08,"income3Low",0.397310022357007,0.574346440080305
"income3Middle",0.215404277483383,0.0428266839038313,10.2937948526896,5.02967444238925,0.000470732165338134,"income3Middle",0.131465519454593,0.299343035512174
"age_c",0.0017546986640599,0.000740272685902623,18042.7863658767,2.37034095337501,0.017782138920338,"age_c",0.00030379086095203,0.00320560646716778
"log_bmi",1.71476966901921,0.0490813856333576,17191.4858577397,34.9372709611072,2.02778663954876e-258,"log_bmi",1.61857192086651,1.81096741717191
"ever_smoker",0.0513806342262745,0.0223551230095615,18113.5992813494,2.29838297934207,0.0215513351670312,"ever_smoker",0.00756539825757131,0.0951958701949777
"education3Low",0.322078713961879,0.0348204841170025,17318.9526802179,9.24969086815802,2.50761744812366e-20,"education3Low",0.253831819168306,0.390325608755453
"education3Middle",0.124879409407268,0.0269555792599447,18426.1780242097,4.63278522798564,3.63246702391944e-06,"education3Middle",0.0720474448753614,0.177711373939174
