"race_all","n_race_cats","ethnicity","race5c","n"
"What Race Ethnicity: AIAN,What Race Ethnicity: Black,What Race Ethnicity: Hispanic,What Race Ethnicity: MENA",4,"Hispanic/Latino","Hispanic",13
"What Race Ethnicity: AIAN,What Race Ethnicity: Black,What Race Ethnicity: Hispanic,What Race Ethnicity: NHPI,What Race Ethnicity: White",5,"Hispanic/Latino","Hispanic",11
"What Race Ethnicity: AIAN,What Race Ethnicity: Asian,What Race Ethnicity: Black,What Race Ethnicity: Hispanic,What Race Ethnicity: MENA",5,"Hispanic/Latino","Hispanic",10
"What Race Ethnicity: AIAN,What Race Ethnicity: Asian,What Race Ethnicity: Black,What Race Ethnicity: MENA,What Race Ethnicity: NHPI,What Race Ethnicity: White",6,"Not","Black",10
"What Race Ethnicity: AIAN,What Race Ethnicity: Asian,What Race Ethnicity: Black,What Race Ethnicity: NHPI,What Race Ethnicity: White",5,"Not","Black",10
"What Race Ethnicity: AIAN,What Race Ethnicity: Asian,What Race Ethnicity: NHPI",3,"Not","Other/Asian",10
"What Race Ethnicity: Asian,What Race Ethnicity: Black,What Race Ethnicity: MENA",3,"Not","Black",10
"What Race Ethnicity: Asian,What Race Ethnicity: Black,What Race Ethnicity: NHPI,What Race Ethnicity: White",4,"Not","Black",10
"What Race Ethnicity: Asian,What Race Ethnicity: Hispanic,What Race Ethnicity: MENA,What Race Ethnicity: White",4,"Hispanic/Latino","Hispanic",10
"What Race Ethnicity: AIAN,What Race Ethnicity: Asian,What Race Ethnicity: Black,What Race Ethnicity: MENA",4,"Not","Black",9
"What Race Ethnicity: Asian,What Race Ethnicity: Black,What Race Ethnicity: NHPI",3,"Not","Black",8
"What Race Ethnicity: AIAN,What Race Ethnicity: Black,What Race Ethnicity: Hispanic,What Race Ethnicity: MENA,What Race Ethnicity: NHPI,What Race Ethnicity: White",6,"Hispanic/Latino","Hispanic",7
"What Race Ethnicity: AIAN,What Race Ethnicity: Black,What Race Ethnicity: Hispanic,What Race Ethnicity: NHPI",4,"Hispanic/Latino","Hispanic",7
"What Race Ethnicity: MENA,What Race Ethnicity: NHPI",2,"Not","Other/Asian",7
"What Race Ethnicity: MENA,What Race Ethnicity: NHPI,What Race Ethnicity: White",3,"Not","Other/Asian",7
