"","Estimate","Std. Error","df","t value","Pr(>|t|)","term","ci_lo","ci_hi"
"(Intercept)",-4.94892046747243,0.129178399177055,1056.7198042666,-38.3107431195933,4.78088942220507e-202,"(Intercept)",-5.20210547744,-4.69573545750487
"race5cHispanic",-0.0633946066504907,0.0435681956035668,15.5427833078696,-1.45506615025619,0.165549731852211,"race5cHispanic",-0.148786700904878,0.0219974876038964
"race5cOther/Asian",-0.0212403010030789,0.0454795492537106,19.6630266306574,-0.467029716688451,0.645612235819432,"race5cOther/Asian",-0.110378579573467,0.0678979775673094
"race5cWhite",-0.0345169716741027,0.0392343354443691,11.1418487962572,-0.879764402357338,0.397565242599834,"race5cWhite",-0.111414856102429,0.042380912754224
"gender3Woman",0.197015141636276,0.0286008235228976,9.94153523759839,6.88844296663512,4.38043988416468e-05,"gender3Woman",0.140958557603211,0.253071725669341
"gender3Gender Minority",0.0653880828221455,0.0864684150125001,126.624188367174,0.756207718306076,0.450929248291948,"gender3Gender Minority",-0.104086896402617,0.234863062046908
"income3Low",0.13660332786983,0.0365029444892456,12.4628761002572,3.74225503671561,0.00263970872698908,"income3Low",0.0650588713412436,0.208147784398416
"income3Middle",0.0553723297432734,0.0349188017299899,10.0791914399184,1.58574541507583,0.14364077259437,"income3Middle",-0.0130672640308017,0.123811923517348
"age_c",0.00155536488629296,0.000520748068675468,14470.6099830362,2.98678954345248,0.00282395998105945,"age_c",0.000534717426670255,0.00257601234591567
"log_bmi",1.58371861920926,0.0361208291853646,14217.6903824385,43.8450239080045,0,"log_bmi",1.51292309491422,1.65451414350429
"ever_smoker",0.01377947156448,0.0157125437565869,14498.1915120601,0.876972677240975,0.380516009610338,"ever_smoker",-0.01701654830394,0.0445754914328999
"education3Low",0.1569018617513,0.0255959793337317,13959.1940527301,6.12994172661043,9.0278515450937e-10,"education3Low",0.106734664108155,0.207069059394446
"education3Middle",0.0705465136178487,0.0190442569852018,14587.065167752,3.7043458126335,0.000212719317564807,"education3Middle",0.0332204558145278,0.10787257142117
