"set","resid_VPC","explains"
"race",2.81145077894664,8.78374859181584
"gender",2.40416416411411,21.9979789571331
"income",2.01776395566397,34.5345592956903
"race+gender",2.07979177796646,32.5220946010152
"race+income",1.69125803726655,45.12789643032
"gender+income",1.06022638271912,65.6014336086186
"all three",0.665207941773096,78.4176286101549
