"","Estimate","Std. Error","df","t value","Pr(>|t|)","term","ci_lo","ci_hi"
"(Intercept)",-4.54415968658975,0.126583187374954,1270.88833747074,-35.8986037626735,1.91661259032993e-195,"(Intercept)",-4.79225817489294,-4.29606119828655
"race5cHispanic",-0.0708810353167769,0.0392109945920541,15.723083655445,-1.80768266794081,0.0898241053402771,"race5cHispanic",-0.147733172515198,0.00597110188164388
"race5cOther/Asian",-0.0935490924756428,0.0421502937548537,23.4202633762712,-2.21941733122252,0.0364113164668783,"race5cOther/Asian",-0.17616215017294,-0.010936034778346
"race5cWhite",-0.0881846176301028,0.0346441482812429,10.9078904425938,-2.54544048577023,0.027372106065517,"race5cWhite",-0.156085900536404,-0.0202833347238015
"gender3Woman",0.0935712856311184,0.02520226709113,8.90143131126403,3.71281223600916,0.00491738136518878,"gender3Woman",0.0441757498037446,0.142966821458492
"gender3Gender Minority",-0.0518946569983197,0.087079748497321,220.925738434444,-0.595944038583393,0.55182267083131,"gender3Gender Minority",-0.222567827835875,0.118778513839235
"income3Low",0.310638540990012,0.0329500067465845,11.6127618960895,9.42757139259802,8.72970949850836e-07,"income3Low",0.246057714476355,0.37521936750367
"income3Middle",0.154421851321397,0.031276627832183,8.68639961185152,4.93729222184561,0.000894083871234556,"income3Middle",0.0931207872124553,0.215722915430339
"age_c",0.00128751758781507,0.000536694977321128,17979.4479277598,2.39897454274981,0.0164511759411224,"age_c",0.000235614761582119,0.00233942041404802
"log_bmi",1.55733731123357,0.0355845615274234,17005.3997637873,43.7644091815884,0,"log_bmi",1.48759285223417,1.62708177023296
"ever_smoker",0.0385986400898159,0.0162073432490664,18060.518780144,2.38155257753545,0.0172501258511413,"ever_smoker",0.00683283103656739,0.0703644491430644
"education3Low",0.232808594044948,0.0252451812595839,17148.5621256353,9.22190225734927,3.2501695934135e-20,"education3Low",0.183328947992978,0.282288240096918
"education3Middle",0.104674637032248,0.0195423114978138,18422.4251087282,5.35630787811144,8.59587782428743e-08,"education3Middle",0.0663724103218698,0.142976863742626
