"Estimate","Std. Error","t value","Pr(>|t|)","term"
-3.58657922653401,1.65215777314978,-2.17084547542716,0.0299633958915486,"(Intercept)"
-0.0441521175429368,0.0364260740264679,-1.21210200997382,0.225498424115033,"race5cHispanic"
-0.077809662455369,0.0404353264703429,-1.92429910297467,0.054341935119629,"race5cOther/Asian"
-0.0948918046364718,0.0297548823659744,-3.18911711595215,0.00143093555417407,"race5cWhite"
0.176165460042317,0.0176435867964411,9.98467386902596,2.21826581592463e-23,"gender3Woman"
0.138229300474216,0.0901786234838646,1.53283888280851,0.125343272704117,"gender3Gender Minority"
0.15228645531568,0.0252950416531023,6.0204073748581,1.79327449104011e-09,"income3Low"
0.0664681650917708,0.0201838946723784,3.29312881238586,0.000993804218604361,"income3Middle"
0.00216054567055405,0.000575248793849662,3.75584563349592,0.000173615932034597,"age_c"
1.58757008658635,0.0404754440646042,39.2230430888511,8.741754259591e-316,"log_bmi"
0.00794274624014924,0.0174053745338669,0.45633871449847,0.648155111315028,"ever_smoker"
0.136367664012031,0.0288419281403434,4.72810497788055,2.29336557962699e-06,"education3Low"
0.0841749600767423,0.0217487911968185,3.87032820881814,0.000109294049446017,"education3Middle"
-5.81026339705378,7.55948851452067,-0.768605360785074,0.442143524440667,"deprivation"
-0.100695222137518,0.212897739428531,-0.472974595257835,0.636240348347983,"factor(zip3)015"
0.73609133005512,0.910307650657563,0.808618195753273,0.418751648823735,"factor(zip3)016"
-0.493531047931254,0.633107391121031,-0.779537650093404,0.435679230785313,"factor(zip3)017"
0.054342685777847,0.113066296039838,0.480626744495989,0.630791015719114,"factor(zip3)018"
-0.0713682412120475,0.215638854734478,-0.330961882077908,0.740679353514256,"factor(zip3)019"
-0.442283121510835,0.621396937831008,-0.71175619734244,0.476630307784471,"factor(zip3)020"
0.18643453886705,0.282683735391027,0.659516326997593,0.509577571285075,"factor(zip3)021"
-0.118404673655253,0.183626241152898,-0.644813469533815,0.519061031323213,"factor(zip3)023"
-0.645249488945618,0.810380291304736,-0.796230480761997,0.425914643820247,"factor(zip3)024"
0.415932248008853,0.282571750803514,1.47195268750722,0.141061224919315,"factor(zip3)026"
0.24544672959564,0.304084139393093,0.807167154740511,0.419587005410591,"factor(zip3)027"
0.143277002036549,0.16482503934018,0.869267209703749,0.384719271929357,"factor(zip3)028"
-0.101494464463967,0.368968424185048,-0.275076287864311,0.783262607591586,"factor(zip3)030"
-0.164803123092384,0.154643633280741,-1.06569614019091,0.28658356499902,"factor(zip3)070"
0.0687833197811364,0.318746443249368,0.215793215070715,0.829152793253021,"factor(zip3)100"
-0.538678006993797,0.381447395285413,-1.41219474467964,0.157919890055387,"factor(zip3)101"
1.2364921724287,1.77651443220904,0.696021462032912,0.486429560996054,"factor(zip3)104"
-0.597634132317094,0.614679864274939,-0.972268927374168,0.330937381130039,"factor(zip3)105"
-0.0816299976485758,0.382112261377,-0.213628312670234,0.830840734364458,"factor(zip3)111"
0.336480626251752,0.91789194027767,0.366579780785485,0.713939287330754,"factor(zip3)112"
0.176885323576344,0.71538055419217,0.247260458143272,0.804711105835696,"factor(zip3)113"
0.489353221080937,0.624996715374247,0.782969268547136,0.433661403170349,"factor(zip3)114"
0.293090195569416,0.263283757776327,1.11321031743406,0.265641555508494,"factor(zip3)150"
0.252713424764239,0.394289926252074,0.640932998634807,0.521579083174914,"factor(zip3)151"
0.305519855577217,0.453821683971387,0.673215640344941,0.500823742643282,"factor(zip3)152"
0.165987552754958,0.312220484182949,0.531635690686125,0.594988686586586,"factor(zip3)156"
0.160643670594274,0.29161438639792,0.550877042036839,0.581728748218988,"factor(zip3)160"
0.470927314236331,0.708850177898516,0.664353806939091,0.506477310899,"factor(zip3)161"
