"","Estimate","Std. Error","df","t value","Pr(>|t|)","term","ci_lo","ci_hi"
"(Intercept)",-4.84584322237014,0.174461695652943,1536.90279816281,-27.7759722799553,6.11912771015819e-138,"(Intercept)",-5.1877818625317,-4.50390458220858
"race5cHispanic",-0.0993716275976735,0.0537107062353251,19.0710345884073,-1.85012699632532,0.0798518609639294,"race5cHispanic",-0.204642677403122,0.00589942220777458
"race5cOther/Asian",-0.144520176762019,0.0578093785575558,28.5831730599237,-2.49994344115173,0.0184197411764194,"race5cOther/Asian",-0.25782447670347,-0.0312158768205675
"race5cWhite",-0.135267479547401,0.0473891731365679,13.1835182400163,-2.8543962807197,0.0133842478567812,"race5cWhite",-0.228148552152207,-0.0423864069425953
"gender3Woman",0.00913702540288794,0.0344422781271883,10.6272456404849,0.265285164040159,0.795864991069714,"gender3Woman",-0.0583685992719128,0.0766426500776887
"gender3Gender Minority",-0.173219350865093,0.119887204260356,274.032584419516,-1.44485270078462,0.149641745379157,"gender3Gender Minority",-0.408193953422588,0.0617552516924023
"income3Low",0.485650949852576,0.045082360183945,13.8905088716271,10.7725271674115,3.98233949595631e-08,"income3Low",0.397291147553981,0.574010752151171
"income3Middle",0.215792674079631,0.0427382401414796,10.304745567478,5.04917079798505,0.000455676135715794,"income3Middle",0.132027262639707,0.299558085519555
"age_c",0.00174104318197088,0.000740214292583646,18040.8866434173,2.35207993065621,0.0186794499137843,"age_c",0.000290249827665138,0.00319183653627662
"log_bmi",1.71430495236527,0.0490772352291216,17186.068336907,34.9307564772522,2.52400898906066e-258,"log_bmi",1.61811533885539,1.81049456587515
"ever_smoker",0.0511136590307586,0.0223533743585545,18112.1429145367,2.28661938063046,0.0222295344587202,"ever_smoker",0.00730185035505074,0.0949254677064666
"education3Low",0.322201411208806,0.0348175643616564,17314.482018657,9.25399053943123,2.40927157857367e-20,"education3Low",0.253960239030554,0.390442583387058
"education3Middle",0.125464342466868,0.0269535984094955,18426.0540974056,4.65482717968626,3.26511523934633e-06,"education3Middle",0.0726362603305008,0.178292424603235
