"","Estimate","Std. Error","df","t value","Pr(>|t|)","term","ci_lo","ci_hi"
"(Intercept)",-5.35622569857939,0.136388106422216,986.613170074915,-39.2719412204329,7.17422852125164e-204,"(Intercept)",-5.62354147508655,-5.08890992207223
"race5cHispanic",-0.0540662051133784,0.0461300394824088,14.3910332302932,-1.17203899498061,0.260219666902644,"race5cHispanic",-0.14447942110431,0.0363470108775536
"race5cOther/Asian",-0.0664303182119423,0.048545502615459,19.0653233381002,-1.36841343961671,0.187093634222147,"race5cOther/Asian",-0.161577754949637,0.0287171185257522
"race5cWhite",-0.0682472691537148,0.0415757078169659,10.4361976780324,-1.64151791363766,0.130445831690249,"race5cWhite",-0.149734159106728,0.0132396207992987
"gender3Woman",0.199267396548328,0.0304205613644485,9.50998784810351,6.55041812545921,8.1657245564185e-05,"gender3Woman",0.139644191884518,0.258890601212137
"gender3Gender Minority",0.095798782377911,0.0923918987662594,125.02528216771,1.03687426773499,0.301795710219775,"gender3Gender Minority",-0.0852860116672281,0.27688357642305
"income3Low",0.206055735237711,0.0389359242941249,11.9459956432988,5.29217525905256,0.00019367536134834,"income3Low",0.129742725916448,0.282368744558974
"income3Middle",0.11450328566349,0.0372594531117982,9.69986806536957,3.07313382512403,0.012190308104803,"income3Middle",0.0414760994807064,0.187530471846273
"age_c",0.000962787904873064,0.00056293555345702,15963.0040041363,1.71029862825421,0.0872300968902953,"age_c",-0.000140545505519817,0.00206612131526595
"log_bmi",1.74854725555685,0.038012180585137,15558.8266401671,45.9996566532293,0,"log_bmi",1.67404475063615,1.82304976047755
"ever_smoker",0.0219140119641151,0.0170078743164618,15939.5144810023,1.28846271770157,0.197603640433658,"ever_smoker",-0.0114208091497338,0.0552488330779639
"education3Low",0.192184834795616,0.0271762126813243,15369.7916457417,7.07180345728185,1.59525339855416e-12,"education3Low",0.13892043670402,0.245449232887213
"education3Middle",0.098954819794205,0.0204916379496554,16124.5620406147,4.82903416687923,1.38455800221166e-06,"education3Middle",0.0587919474286462,0.139117692159764
