"","Estimate","Std. Error","df","t value","Pr(>|t|)","term","ci_lo","ci_hi"
"(Intercept)",-4.5463023737234,0.126647690769304,1239.70423882068,-35.8972386003055,4.45410168936788e-194,"(Intercept)",-4.7945272863564,-4.2980774610904
"race5cHispanic",-0.0700169518504548,0.0393957101212104,15.4425533268923,-1.77727350605004,0.0952200565995806,"race5cHispanic",-0.147231124833407,0.0071972211324977
"race5cOther/Asian",-0.0925700540206325,0.0423130880808609,22.905629024213,-2.18774044200532,0.0391548762782996,"race5cOther/Asian",-0.175502182733791,-0.00963792530747415
"race5cWhite",-0.0870011054844906,0.0348400568075932,10.7395994763353,-2.49715739457489,0.030124264716519,"race5cWhite",-0.155286362046703,-0.0187158489222785
"gender3Woman",0.0941525538211784,0.0253597551207673,8.83480201577407,3.71267598495366,0.00498329933537039,"gender3Woman",0.0444483471277192,0.143856760514638
"gender3Gender Minority",-0.0513854163861555,0.0871891164705416,213.405219736244,-0.589355856169468,0.556245974796492,"gender3Gender Minority",-0.222272944512285,0.119502111739974
"income3Low",0.310871516251349,0.0331302685166281,11.5114086373072,9.38330807959864,9.81131735148987e-07,"income3Low",0.245937383160616,0.375805649342081
"income3Middle",0.153972725813372,0.0314742759164758,8.65784885539911,4.89201804743576,0.000959201346885457,"income3Middle",0.0922842785776032,0.215661173049141
"age_c",0.00129914565094482,0.000536709020766461,17986.7042158754,2.42057726007575,0.0155057229846273,"age_c",0.000247215300064798,0.00235107600182484
"log_bmi",1.55761848590264,0.0355861204392118,17025.4505876143,43.7703932510249,0,"log_bmi",1.48787097149228,1.627366000313
"ever_smoker",0.0387548209342237,0.0162077345442934,18066.0912292357,2.39113127305438,0.0168067163205002,"ever_smoker",0.00698824495642301,0.0705213969120244
"education3Low",0.232719576396961,0.0252462326358963,17165.4047584371,9.21799223485207,3.36991359136918e-20,"education3Low",0.183237869685285,0.282201283108638
"education3Middle",0.104176803410105,0.0195424957322595,18422.8971214776,5.33078296842796,9.89418090867598e-08,"education3Middle",0.0658742156068488,0.142479391213361
