"","Estimate","Std. Error","df","t value","Pr(>|t|)","term","ci_lo","ci_hi"
"(Intercept)",-5.35385766878309,0.136273271814038,1008.7690120023,-39.2876577887489,1.48675653037615e-205,"(Intercept)",-5.62094837359404,-5.08676696397213
"race5cHispanic",-0.0551365855190742,0.0457964182513772,14.4874977958484,-1.20394973284654,0.247911888262507,"race5cHispanic",-0.144895915912706,0.034622744874558
"race5cOther/Asian",-0.0676656885922221,0.0482407458404221,19.2809702230261,-1.4026667169711,0.176613460922361,"race5cOther/Asian",-0.1622158130268,0.0268844358423556
"race5cWhite",-0.0697727401775442,0.0412224168330116,10.4643963748329,-1.69259217527656,0.120050572765486,"race5cWhite",-0.150567192525945,0.0110217121708562
"gender3Woman",0.198481179163029,0.0301493700069791,9.47360407632544,6.58326124615817,7.98879546000893e-05,"gender3Woman",0.139389499792778,0.25757285853328
"gender3Gender Minority",0.0951039464702496,0.0921669920302009,128.753300240525,1.03186557763637,0.304069477547929,"gender3Gender Minority",-0.0855400384723343,0.275747931412833
"income3Low",0.206023113795269,0.0386262269046892,11.9170111603796,5.3337623243304,0.000182517998464054,"income3Low",0.130317100203406,0.281729127387132
"income3Middle",0.115061557646293,0.0369302474330701,9.62682186239504,3.11564545715062,0.0114522596502902,"income3Middle",0.0426796027373232,0.187443512555264
"age_c",0.000949473073320239,0.000562925371285574,15954.8103795047,1.68667663912872,0.0916850962874213,"age_c",-0.000153840380383324,0.0020527865270238
"log_bmi",1.74828454031713,0.038010747768518,15535.782759541,45.9944790079907,0,"log_bmi",1.6737848436654,1.82278423696886
"ever_smoker",0.0217353097715698,0.0170075408629969,15931.3042006402,1.27798074669684,0.201274835123638,"ever_smoker",-0.0115988577854975,0.055069477328637
"education3Low",0.192239119036735,0.02717500443839,15339.714892266,7.07411546049868,1.56909924323229e-12,"education3Low",0.138977089057774,0.245501149015695
"education3Middle",0.0995290167038041,0.0204916518506745,16124.2145819168,4.85705190723939,1.20264398127976e-06,"education3Middle",0.0593661170927486,0.13969191631486
